date,value
1972-07-01,530.0
1972-08-01,529.0
1972-09-01,526.0
1972-10-01,532.0
1972-11-01,568.0
1972-12-01,785.0
1973-01-01,543.0
1973-02-01,510.0
1973-03-01,554.0
1973-04-01,523.0
1973-05-01,540.0
1973-06-01,599.0
1973-07-01,574.0
1973-08-01,619.0
1973-09-01,619.0
1973-10-01,600.0
1973-11-01,652.0
1973-12-01,877.0
1974-01-01,597.0
1974-02-01,540.0
1974-03-01,594.0
1974-04-01,572.0
1974-05-01,592.0
1974-06-01,590.0
1974-07-01,632.0
1974-08-01,644.0
1974-09-01,621.0
1974-10-01,604.0
1974-11-01,613.0
1974-12-01,828.0
1975-01-01,578.0
1975-02-01,533.0
1975-03-01,582.0
1975-04-01,605.0
1975-05-01,660.0
1975-06-01,677.0
1975-07-01,682.0
1975-08-01,684.0
1975-09-01,700.0
1975-10-01,705.0
1975-11-01,747.0
1975-12-01,1065.0
1976-01-01,692.0
1976-02-01,654.0
1976-03-01,719.0
1976-04-01,690.0
1976-05-01,706.0
1976-06-01,759.0
1976-07-01,769.0
1976-08-01,730.0
1976-09-01,740.0
1976-10-01,765.0
1976-11-01,791.0
1976-12-01,1114.0
1977-01-01,695.0
1977-02-01,680.0
1977-03-01,788.0
1977-04-01,778.0
1977-05-01,780.0
1977-06-01,805.0
1977-07-01,852.0
1977-08-01,823.0
1977-09-01,831.0
1977-10-01,836.0
1977-11-01,913.0
1977-12-01,1265.0
1978-01-01,726.0
1978-02-01,711.0
1978-03-01,823.0
1978-04-01,780.0
1978-05-01,844.0
1978-06-01,870.0
1978-07-01,865.0
1978-08-01,915.0
1978-09-01,920.0
1978-10-01,935.0
1978-11-01,1030.0
1978-12-01,1361.0
1979-01-01,859.0
1979-02-01,852.0
1979-03-01,954.0
1979-04-01,895.0
1979-05-01,993.0
1979-06-01,1109.0
1979-07-01,1094.0
1979-08-01,1173.0
1979-09-01,1120.0
1979-10-01,1159.0
1979-11-01,1189.0
1979-12-01,1539.0
1980-01-01,1022.0
1980-02-01,987.0
1980-03-01,1024.0
1980-04-01,1005.0
1980-05-01,1054.0
1980-06-01,1098.0
1980-07-01,1191.0
1980-08-01,1191.0
1980-09-01,1161.0
1980-10-01,1201.0
1980-11-01,1294.0
1980-12-01,1782.0
1981-01-01,1154.0
1981-02-01,1059.0
1981-03-01,1178.0
1981-04-01,1126.0
1981-05-01,1120.0
1981-06-01,1233.0
1981-07-01,1260.0
1981-08-01,1311.0
1981-09-01,1302.0
1981-10-01,1365.0
1981-11-01,1395.0
1981-12-01,1899.0
1982-01-01,1123.0
1982-02-01,1087.0
1982-03-01,1210.0
1982-04-01,1157.0
1982-05-01,1159.0
1982-06-01,1260.0
1982-07-01,1357.0
1982-08-01,1265.0
1982-09-01,1231.0
1982-10-01,1287.0
1982-11-01,1452.0
1982-12-01,2186.0
1983-01-01,1309.0
1983-02-01,1242.0
1983-03-01,1388.0
1983-04-01,1400.0
1983-05-01,1397.0
1983-06-01,1527.0
1983-07-01,1654.0
1983-08-01,1650.0
1983-09-01,1555.0
1983-10-01,1560.0
1983-11-01,1836.0
1983-12-01,2762.0
1984-01-01,1541.0
1984-02-01,1480.0
1984-03-01,1619.0
1984-04-01,1455.0
1984-05-01,1510.0
1984-06-01,1698.0
1984-07-01,1651.0
1984-08-01,1749.0
1984-09-01,1783.0
1984-10-01,1863.0
1984-11-01,2074.0
1984-12-01,3051.0
1985-01-01,1836.0
1985-02-01,1690.0
1985-03-01,1856.0
1985-04-01,1796.0
1985-05-01,1904.0
1985-06-01,1927.0
1985-07-01,1978.0
1985-08-01,2055.0
1985-09-01,1976.0
1985-10-01,2204.0
1985-11-01,2423.0
1985-12-01,3502.0
1986-01-01,1977.0
1986-02-01,1767.0
1986-03-01,1935.0
1986-04-01,1900.0
1986-05-01,2073.0
1986-06-01,2143.0
1986-07-01,2299.0
1986-08-01,2247.0
1986-09-01,2162.0
1986-10-01,2274.0
1986-11-01,2529.0
1986-12-01,3731.0
1987-01-01,2184.0
1987-02-01,1901.0
1987-03-01,2058.0
1987-04-01,1974.0
1987-05-01,2018.0
1987-06-01,2091.0
1987-07-01,2239.0
1987-08-01,2253.0
1987-09-01,2157.0
1987-10-01,2190.0
1987-11-01,2397.0
1987-12-01,3659.0
1988-01-01,2170.0
1988-02-01,2086.0
1988-03-01,2297.0
1988-04-01,2251.0
1988-05-01,2311.0
1988-06-01,2520.0
