date,value
1972-07-01,1585.0
1972-10-01,1885.0
1973-01-01,1607.0
1973-04-01,1662.0
1973-07-01,1812.0
1973-10-01,2129.0
1974-01-01,1731.0
1974-04-01,1754.0
1974-07-01,1897.0
1974-10-01,2045.0
1975-01-01,1693.0
1975-04-01,1942.0
1975-07-01,2066.0
1975-10-01,2517.0
1976-01-01,2065.0
1976-04-01,2155.0
1976-07-01,2239.0
1976-10-01,2670.0
1977-01-01,2163.0
1977-04-01,2363.0
1977-07-01,2506.0
1977-10-01,3014.0
1978-01-01,2260.0
1978-04-01,2494.0
1978-07-01,2700.0
1978-10-01,3326.0
1979-01-01,2665.0
1979-04-01,2997.0
1979-07-01,3387.0
1979-10-01,3887.0
1980-01-01,3033.0
1980-04-01,3157.0
1980-07-01,3543.0
1980-10-01,4277.0
1981-01-01,3391.0
1981-04-01,3479.0
1981-07-01,3873.0
1981-10-01,4659.0
1982-01-01,3420.0
1982-04-01,3576.0
1982-07-01,3853.0
1982-10-01,4925.0
1983-01-01,3939.0
1983-04-01,4324.0
1983-07-01,4859.0
1983-10-01,6158.0
1984-01-01,4640.0
1984-04-01,4663.0
1984-07-01,5183.0
1984-10-01,6988.0
1985-01-01,5382.0
1985-04-01,5627.0
1985-07-01,6009.0
1985-10-01,8129.0
1986-01-01,5679.0
1986-04-01,6116.0
1986-07-01,6708.0
1986-10-01,8534.0
1987-01-01,6143.0
1987-04-01,6083.0
1987-07-01,6649.0
1987-10-01,8246.0
1988-01-01,6553.0
1988-04-01,7082.0
